0,23,15,13,0,10,0,0,0,16,24,14,8,0,2,0,17,3,4,18,0,12,0,5,22
22,0,14,0,0,0,5,18,0,8,21,0,0,3,23,24,2,9,15,0,0,19,17,11,13
0,10,0,6,12,3,4,15,2,21,9,19,25,0,22,8,14,0,23,13,0,0,0,0,16
0,18,3,0,11,6,0,12,25,17,0,0,13,10,1,22,0,21,0,5,9,14,23,0,0
9,0,2,24,0,14,23,22,11,13,20,18,15,0,17,12,0,10,7,0,8,1,3,4,6
16,0,0,15,2,0,0,11,0,25,0,0,0,8,14,0,7,6,22,0,19,0,5,9,17
0,9,4,5,14,18,0,0,23,0,0,11,10,0,6,21,1,17,2,24,0,0,0,0,0
12,0,11,10,0,4,16,0,0,1,0,22,21,7,9,23,5,19,0,20,0,8,0,2,24
21,3,18,20,22,5,7,24,0,0,0,0,2,0,13,15,0,0,14,16,23,11,0,1,10
0,7,17,8,0,22,9,2,19,0,0,5,0,0,0,3,13,0,11,12,0,0,0,20,4
3,15,13,12,0,19,8,20,24,0,0,0,18,21,25,5,22,0,0,0,0,9,11,17,0
0,0,6,16,0,17,0,0,0,11,0,0,0,0,3,10,25,24,0,23,21,5,7,0,20
0,2,10,1,9,25,13,0,5,7,8,0,12,0,24,20,21,0,17,3,4,16,19,22,0
20,0,21,14,24,9,0,1,3,22,5,0,0,0,0,18,0,0,0,11,0,25,13,0,0
0,19,7,23,0,0,0,0,15,18,17,4,22,0,0,0,6,13,12,14,0,3,24,8,1
13,21,0,0,0,2,1,0,12,9,0,0,0,22,0,0,10,14,3,15,0,17,4,6,0
2,24,0,11,10,8,17,0,0,4,14,0,5,0,0,0,0,22,9,19,13,20,18,25,3
15,12,0,17,0,11,0,3,10,24,18,13,1,19,0,25,0,0,21,2,0,23,9,0,5
0,0,0,0,0,20,14,13,22,23,7,0,17,9,0,0,11,0,0,4,24,15,2,21,0
14,5,9,0,3,0,18,25,16,0,11,20,0,0,0,13,0,23,0,0,1,22,0,0,8
7,14,24,9,17,0,22,16,0,3,10,0,4,12,5,2,18,11,13,21,0,6,15,0,25
0,0,16,3,15,12,0,21,0,14,6,25,7,0,0,19,23,4,0,22,17,0,1,18,0
4,0,0,0,0,13,20,0,17,5,22,0,3,1,15,14,24,12,6,8,7,10,0,23,0
10,6,8,21,0,0,25,4,9,15,23,2,0,0,18,16,0,5,20,0,0,0,12,0,14
23,20,0,22,0,24,10,6,18,0,16,0,14,13,19,17,0,0,0,9,0,4,8,3,0
